record_id,record_revision,record_date,record_title,record_status,record_amount_pence,line_id,line_position,card_name,line_quantity,line_allocation_pence,line_detail,copy_id,allocation_index,copy_allocation_pence,copy_condition,copy_status,copy_location,printing_set_name,printing_set_code,printing_tcgplayer_url,target_name,target_rarity,target_edition,copy_created_at,copy_updated_at
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-9898dd40-28e3-426d-af87-80dfca157d8d,10,Mystic Box,1,20,YGLD-ENA25 · 1st Edition · from Bulk lot · 130 card types,copy-e2613973-30c5-456d-a10d-17876a8c2d60,10,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA25,https://www.tcgplayer.com/product/108227/yugioh-king-of-games-yugis-legendary-decks-mystic-box?Language=English&page=1,Mystic Box,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-5b5aa180-4988-4bc3-bdec-ff1e313ca757,11,Brain Control,1,20,YGLD-ENA26 · 1st Edition · from Bulk lot · 130 card types,copy-82286bac-c788-4abe-8ad8-2ff5e0f997d8,11,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA26,https://www.tcgplayer.com/product/108228/yugioh-king-of-games-yugis-legendary-decks-brain-control?Language=English&page=1,Brain Control,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-289a268b-d98a-4ee1-9ceb-008bdc6a102e,12,Monster Recovery,1,20,YGLD-ENA27 · 1st Edition · from Bulk lot · 130 card types,copy-83127c0b-0095-4fc3-a625-a0e39c2a6db3,12,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA27,https://www.tcgplayer.com/product/108229/yugioh-king-of-games-yugis-legendary-decks-monster-recovery-a?Language=English&page=1,Monster Recovery,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-6b23fe87-3911-404d-80b9-5f775da89557,13,Horn of the Unicorn,1,20,YGLD-ENA29 · 1st Edition · from Bulk lot · 130 card types,copy-e1aae67a-d13a-44c8-bd86-bed48334de77,13,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA29,https://www.tcgplayer.com/product/108231/yugioh-king-of-games-yugis-legendary-decks-horn-of-the-unicorn?Language=English&page=1,Horn of the Unicorn,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-a1f89c2a-20dc-4ca4-9c13-6f61bc7cdde2,14,Mystical Moon,2,40,YGLD-ENA30 · 1st Edition · from Bulk lot · 130 card types,copy-58368da2-7b0a-4b4a-a160-ecb73ecb0e84,14,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA30,https://www.tcgplayer.com/product/108232/yugioh-king-of-games-yugis-legendary-decks-mystical-moon?Language=English&page=1,Mystical Moon,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-a1f89c2a-20dc-4ca4-9c13-6f61bc7cdde2,14,Mystical Moon,2,40,YGLD-ENA30 · 1st Edition · from Bulk lot · 130 card types,copy-2551baad-e432-45d9-989d-545dd7a06fcc,15,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA30,https://www.tcgplayer.com/product/108232/yugioh-king-of-games-yugis-legendary-decks-mystical-moon?Language=English&page=1,Mystical Moon,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-e6e2e19f-a3e4-4e8a-9c5f-865f756f7b41,15,Burning Land,1,20,YGLD-ENA31 · 1st Edition · from Bulk lot · 130 card types,copy-7797ab8c-f422-4605-90fe-3db3ccf59a71,16,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA31,https://www.tcgplayer.com/product/108233/yugioh-king-of-games-yugis-legendary-decks-burning-land?Language=English&page=1,Burning Land,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-a30979d6-e5cf-4465-aa54-6d700580f63b,16,Detonate,1,20,YGLD-ENA33 · 1st Edition · from Bulk lot · 130 card types,copy-658e5ffd-7369-4e8c-8be6-0b6c81732116,17,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA33,https://www.tcgplayer.com/product/108235/yugioh-king-of-games-yugis-legendary-decks-detonate?Language=English&page=1,Detonate,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-b030fd45-223d-4de7-a7b6-e642e6b47200,17,"Makiu, the Magical Mist",1,20,YGLD-ENA34 · 1st Edition · from Bulk lot · 130 card types,copy-d92ff35a-26a3-4e56-9f47-dabd90eee768,18,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA34,https://www.tcgplayer.com/product/108236/yugioh-king-of-games-yugis-legendary-decks-makiu-the-magical-mist?Language=English&page=1,"Makiu, the Magical Mist",Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-37e59ef6-2c93-4256-afbf-8d6c7a26c5b2,18,Black Luster Ritual,1,20,YGLD-ENA36 · 1st Edition · from Bulk lot · 130 card types,copy-2b16c0d6-1ac7-4af7-8d6f-ee2fc3f85b32,19,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA36,https://www.tcgplayer.com/product/108238/yugioh-king-of-games-yugis-legendary-decks-black-luster-ritual?Language=English&page=1,Black Luster Ritual,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
